"Zidlicky, Marek",D,NJD,81,12,30,42,0.518518519,-3,60,124,81,8,10,0,2,2,128,0.094
"Kane, Evander",F,WPG,63,19,22,41,0.650793651,-7,66,173,36,1,4,2,0,4,250,0.076
"Schenn, Brayden",F,PHI,82,20,21,41,0.5,0,54,200,37,4,5,0,0,6,178,0.112
"Granlund, Mikael",F,MIN,63,8,33,41,0.650793651,-3,22,38,46,2,10,0,0,2,104,0.077
"Killorn, Alex",F,TBL,82,17,24,41,0.5,8,63,77,31,3,5,0,0,2,173,0.098
"Gallagher, Brendan",F,MTL,81,19,22,41,0.50617284,4,73,38,36,8,1,0,0,0,211,0.09
"Franzen, Johan",F,DET,54,16,25,41,0.759259259,6,40,66,23,7,10,0,0,4,149,0.107
"Richards, Mike",F,LAK,82,11,30,41,0.5,-6,28,73,21,4,8,1,1,3,157,0.07
"Seabrook, Brent",D,CHI,82,7,34,41,0.5,23,22,171,142,3,6,1,0,0,149,0.047
"Read, Matt",F,PHI,75,22,18,40,0.533333333,-4,16,72,54,0,2,4,0,3,151,0.146
"Hanzal, Martin",F,ARI,65,15,25,40,0.615384615,-9,73,200,37,5,8,0,0,2,169,0.089
"Atkinson, Cam",F,CLB,79,21,19,40,0.506329114,-4,18,55,38,4,5,1,0,5,216,0.097
"Staal, Jordan",F,CAR,82,15,25,40,0.487804878,2,34,194,37,2,8,1,3,2,165,0.091
"Gionta, Brian",F,MTL,81,18,22,40,0.493827161,1,22,46,52,2,5,0,1,3,184,0.098
"Stamkos, Steven",F,TBL,37,25,15,40,1.081081081,9,18,50,16,9,4,1,0,5,124,0.202
"Krug, Torey",D,BOS,79,14,26,40,0.506329114,18,28,50,77,6,13,0,0,2,183,0.077
"Chara, Zdeno",D,BOS,77,17,23,40,0.51948052,25,66,163,104,10,5,0,1,3,168,0.101
"Josi, Roman",D,NAS,72,13,27,40,0.555555556,-2,18,32,150,3,10,0,0,2,168,0.077
"Cullen, Matt",F,NAS,77,10,29,39,0.506493507,4,32,18,22,1,8,0,0,2,134,0.075
"Michalek, Milan",F,OTT,82,17,22,39,0.475609756,-25,41,86,31,4,4,0,0,1,169,0.101
"Anisimov, Artem",F,CLB,81,22,17,39,0.481481482,-2,20,31,55,3,3,2,0,5,162,0.136
"Tatar, Tomas",F,DET,73,19,20,39,0.534246575,12,30,81,20,2,4,0,0,3,158,0.12
"Nash, Rick",F,NYR,65,26,13,39,0.6,10,36,11,29,4,3,2,2,9,258,0.101
"Higgins, Chris",F,VAN,78,17,22,39,0.5,-14,30,98,45,2,1,0,1,4,216,0.079
"Foligno, Nick",F,CLB,70,18,21,39,0.557142857,5,96,210,42,3,3,0,0,5,111,0.162
"Couturier, Sean",F,PHI,82,13,26,39,0.475609756,1,45,64,40,0,3,1,4,2,165,0.079
"Backlund, Mikael",F,CGY,76,18,21,39,0.513157895,4,32,64,62,5,6,4,0,3,178,0.101
"Shaw, Andrew",F,CHI,80,20,19,39,0.4875,12,76,168,16,5,4,0,0,2,149,0.134
"Johnson, Erik",D,COL,80,9,30,39,0.4875,5,61,136,130,2,12,0,0,2,157,0.057
"Wingels, Tommy",F,SJS,77,16,22,38,0.493506494,11,35,218,58,0,5,2,1,7,163,0.098
"Bjugstad, Nick",F,FLA,76,16,22,38,0.5,-14,16,117,23,0,3,1,1,4,185,0.086
"Bailey, Josh",F,NYI,77,8,30,38,0.493506494,-8,26,44,29,2,8,0,0,1,98,0.082
"McGinn, Jamie",F,COL,79,19,19,38,0.481012658,-3,30,140,35,5,4,0,0,3,167,0.114
"Barrie, Tyson",D,COL,64,13,25,38,0.59375,17,20,50,57,4,6,0,0,5,101,0.129
"Green, Mike",D,WAS,70,9,29,38,0.542857143,-16,64,62,107,3,12,0,0,2,172,0.052
"Kreider, Chris",F,NYR,66,17,20,37,0.560606061,14,72,146,18,6,6,0,0,0,136,0.125
"Datsyuk, Pavel",F,DET,45,17,20,37,0.822222222,1,6,30,22,6,6,0,0,2,126,0.135
"Upshall, Scottie",F,FLA,76,15,22,37,0.486842105,1,73,134,25,1,5,1,0,3,161,0.093
"Eriksson, Loui",F,BOS,61,10,27,37,0.606557377,14,6,12,13,2,9,0,1,2,115,0.087
"Gagner, Sam",F,EDM,67,10,27,37,0.552238806,-29,41,33,34,1,6,0,1,1,143,0.07
"Lecavalier, Vincent",F,PHI,69,20,17,37,0.536231884,-16,44,77,19,8,5,0,0,3,132,0.152
"Roy, Derek",F,STL,75,9,28,37,0.493333333,-1,30,13,30,4,12,0,0,2,114,0.079
"Carlson, John",D,WAS,82,10,27,37,0.451219512,-3,22,64,177,5,17,0,1,0,208,0.048
"Bouwmeester, Jay",D,STL,82,4,33,37,0.451219512,26,20,51,106,1,10,0,0,0,152,0.026
"Doughty, Drew",D,LAK,78,10,27,37,0.474358974,18,64,180,91,6,10,0,1,2,177,0.057
"Campbell, Brian",D,FLA,82,7,30,37,0.451219512,-6,20,50,108,2,10,0,2,2,116,0.06
"Pouliot, Benoit",F,NYR,80,15,21,36,0.45,10,56,141,18,7,1,0,0,4,141,0.106
"Boyes, Brad",F,FLA,78,21,15,36,0.461538462,-6,28,46,35,2,1,1,0,1,176,0.119
"Versteeg, Kris",F,FLA,81,12,24,36,0.444444444,0,36,29,23,1,7,0,0,1,157,0.076
"Callahan, Ryan",F,NYR,65,17,19,36,0.553846154,1,24,189,60,7,5,1,0,3,163,0.104
"Niederreiter, Nino",F,MIN,81,14,22,36,0.444444444,12,44,175,23,2,4,0,0,1,143,0.098
"Boyle, Dan",D,SJS,75,12,24,36,0.48,-8,32,46,92,6,12,0,0,1,154,0.078
"Fowler, Cam",D,ANA,70,6,30,36,0.514285714,15,14,46,122,4,11,1,0,2,100,0.06
"Grabovski, Mikhail",F,TOR,58,13,22,35,0.603448276,6,26,19,22,3,5,0,0,1,81,0.16
"Penner, Dustin",F,ANA,67,14,21,35,0.52238806,25,30,92,24,5,6,0,0,2,119,0.118
"Eakin, Cody",F,DAL,81,16,19,35,0.432098765,-9,36,91,58,3,3,1,0,2,161,0.099
"Chiasson, Alex",F,DAL,79,13,22,35,0.443037975,-21,38,76,21,6,7,0,0,4,144,0.09
"Timonen, Kimmo",D,PHI,77,6,29,35,0.454545455,5,32,75,112,1,19,0,1,1,152,0.039
